caldt,vwretd.T.30,vwretx.T.30,ewretd.T.30,ewretx.T.30,totval.T.30,usdval.T.30,spindx.T.30,sprtrn.T.30,chusdval.T.30,vol.T.30,vwretd.T.2,vwretx.T.2,ewretd.T.2,ewretx.T.2,totval.T.2,usdval.T.2,spindx.T.2,sprtrn.T.2,chusdval.T.2,vol.T.2,vwretd.T.1,vwretx.T.1,ewretd.T.1,ewretx.T.1,totval.T.1,usdval.T.1,spindx.T.1,sprtrn.T.1,chusdval.T.1,vol.T.1,vwretd.T.0,vwretx.T.0,ewretd.T.0,ewretx.T.0,totval.T.0,usdval.T.0,spindx.T.0,sprtrn.T.0,chusdval.T.0,vol.T.0,Movement.T.0
20010328,-0.024266,-0.024362,-0.020908,-0.021059,10178381600,10432533600,1153.29,-0.02443,1.025460543,0.01673008,-0.002508,-0.002533,-0.00329,-0.003371,11225714500,11254219800,1263.51,-0.002447,1.015297759,0.017788127,-0.001616,-0.001708,0.000481,0.000357,11206655800,11225714500,1261.2,-0.001828,0.997467146,0.017753691,-0.004568,-0.004691,-0.001722,-0.001842,11154087700,11206655800,1255.54,-0.004488,0.998302228,0.017286863,0
20010329,-0.004697,-0.004722,-0.003041,-0.003086,10130473000,10178381600,1147.95,-0.00463,0.975638516,0.016725251,-0.001616,-0.001708,0.000481,0.000357,11206655800,11225714500,1261.2,-0.001828,0.997467146,0.017753691,-0.004568,-0.004691,-0.001722,-0.001842,11154087700,11206655800,1255.54,-0.004488,0.998302228,0.017286863,-0.000072,-0.000215,0.002746,0.002715,11151692100,11154087700,1255.18,-0.000287,0.995309207,0.016553066,0
20010330,0.01081,0.01081,0.009753,0.009753,10251553800,10130473000,1160.33,0.010784,0.995293102,0.016800845,-0.004568,-0.004691,-0.001722,-0.001842,11154087700,11206655800,1255.54,-0.004488,0.998302228,0.017286863,-0.000072,-0.000215,0.002746,0.002715,11151692100,11154087700,1255.18,-0.000287,0.995309207,0.016553066,-0.007488,-0.007582,-0.004855,-0.004941,11067206900,11151692100,1245.67,-0.007577,0.999785227,0.016608299,0
20010402,-0.012619,-0.012619,-0.013305,-0.013305,10130070000,10258959000,1145.87,-0.012462,1.01268312,0.016648422,-0.000072,-0.000215,0.002746,0.002715,11151692100,11154087700,1255.18,-0.000287,0.995309207,0.016553066,-0.007488,-0.007582,-0.004855,-0.004941,11067206900,11151692100,1245.67,-0.007577,0.999785227,0.016608299,0.00276,0.002687,0.001281,0.001168,11105282600,11072541400,1248.92,0.002609,0.99290236,0.016540718,1
20010403,-0.034401,-0.034401,-0.033675,-0.033675,9788838070,10141028600,1106.46,-0.034393,0.988504643,0.017390149,-0.007488,-0.007582,-0.004855,-0.004941,11067206900,11151692100,1245.67,-0.007577,0.999785227,0.016608299,0.00276,0.002687,0.001281,0.001168,11105282600,11072541400,1248.92,0.002609,0.99290236,0.016540718,0.000335,0.000329,0.002841,0.00281,11109360400,11105282600,1249.44,0.000416,1.002956972,0.016302089,1
20010404,-0.00285,-0.003046,0.000748,0.000638,9759024380,9788838070,1103.25,-0.002901,0.965270729,0.017194245,0.00276,0.002687,0.001281,0.001168,11105282600,11072541400,1248.92,0.002609,0.99290236,0.016540718,0.000335,0.000329,0.002841,0.00281,11109360400,11105282600,1249.44,0.000416,1.002956972,0.016302089,0.028754,0.028594,0.02912,0.028991,11427021400,11109360400,1284.99,0.028453,1.000367195,0.015338635,1
20010405,0.043928,0.043914,0.042075,0.042063,10187585400,9759024380,1151.44,0.04368,0.996954318,0.019286461,0.000335,0.000329,0.002841,0.00281,11109360400,11105282600,1249.44,0.000416,1.002956972,0.016302089,0.028754,0.028594,0.02912,0.028991,11427021400,11109360400,1284.99,0.028453,1.000367195,0.015338635,0.002819,0.00281,0.007396,0.007341,11459132000,11427021400,1288.49,0.002724,1.028593995,0.015271554,1
20010406,-0.020124,-0.020359,-0.025141,-0.025254,9980170260,10187585400,1128.43,-0.019984,1.04391433,0.019540202,0.028754,0.028594,0.02912,0.028991,11427021400,11109360400,1284.99,0.028453,1.000367195,0.015338635,0.002819,0.00281,0.007396,0.007341,11459132000,11427021400,1288.49,0.002724,1.028593995,0.015271554,0.002578,0.002476,0.00194,0.001906,11487509100,11459132000,1291.96,0.002693,1.002810059,0.013443408,1
20010409,0.00799,0.007989,0.012383,0.012379,10059898300,9980170260,1137.59,0.008117,0.979640402,0.019272573,0.002819,0.00281,0.007396,0.007341,11459132000,11427021400,1288.49,0.002724,1.028593995,0.015271554,0.002578,0.002476,0.00194,0.001906,11487509100,11459132000,1291.96,0.002693,1.002810059,0.013443408,0.016336,0.016336,0.01803,0.01803,11675173400,11487509100,1312.83,0.016154,1.002476374,0.012831658,1
20010410,0.027424,0.027306,0.03136,0.031269,10334551200,10059898300,1168.38,0.027066,1.007988645,0.020036943,0.002578,0.002476,0.00194,0.001906,11487509100,11459132000,1291.96,0.002693,1.002810059,0.013443408,0.016336,0.016336,0.01803,0.01803,11675173400,11487509100,1312.83,0.016154,1.002476374,0.012831658,-0.002543,-0.002547,-0.000843,-0.000849,11645438600,11675173400,1309.38,-0.002628,1.016336379,0.012895405,0
20010411,-0.002032,-0.002044,-0.003761,-0.003817,10313430200,10334551200,1165.89,-0.002131,1.027301757,0.019907456,0.016336,0.016336,0.01803,0.01803,11675173400,11487509100,1312.83,0.016154,1.002476374,0.012831658,-0.002543,-0.002547,-0.000843,-0.000849,11645438600,11675173400,1309.38,-0.002628,1.016336379,0.012895405,-0.015468,-0.015505,-0.016617,-0.016771,11464877500,11645438600,1289.05,-0.015526,0.99745316,0.012700162,0
20010412,0.015173,0.015167,0.013963,0.013941,10471820100,10313430200,1183.5,0.015104,0.997956273,0.02014228,-0.002543,-0.002547,-0.000843,-0.000849,11645438600,11675173400,1309.38,-0.002628,1.016336379,0.012895405,-0.015468,-0.015505,-0.016617,-0.016771,11464877500,11645438600,1289.05,-0.015526,0.99745316,0.012700162,0.00325,0.003226,0.000975,0.000881,11501967300,11464877500,1293.17,0.003196,0.984495122,0.012657928,1
20010416,-0.003394,-0.003394,-0.003616,-0.003616,10436276200,10471820100,1179.68,-0.003228,1.015357635,0.020129241,-0.015468,-0.015505,-0.016617,-0.016771,11464877500,11645438600,1289.05,-0.015526,0.99745316,0.012700162,0.00325,0.003226,0.000975,0.000881,11501967300,11464877500,1293.17,0.003196,0.984495122,0.012657928,-0.011901,-0.011904,-0.007776,-0.007781,11365230700,11501967300,1277.89,-0.011816,1.00323508,0.012763366,0
20010417,0.010463,0.010463,0.010639,0.010639,10545470100,10436276200,1191.81,0.010282,0.996605757,0.020199632,0.00325,0.003226,0.000975,0.000881,11501967300,11464877500,1293.17,0.003196,0.984495122,0.012657928,-0.011901,-0.011904,-0.007776,-0.007781,11365230700,11501967300,1277.89,-0.011816,1.00323508,0.012763366,-0.007846,-0.007906,-0.008827,-0.008926,11275381900,11365230700,1267.93,-0.007794,0.988111895,0.012862581,0
20010418,0.039393,0.039336,0.038995,0.038969,10960283000,10545470100,1238.16,0.03889,1.010462918,0.021403178,-0.011901,-0.011904,-0.007776,-0.007781,11365230700,11501967300,1277.89,-0.011816,1.00323508,0.012763366,-0.007846,-0.007906,-0.008827,-0.008926,11275381900,11365230700,1267.93,-0.007794,0.988111895,0.012862581,-0.015481,-0.01572,-0.016831,-0.017164,11098127500,11275381900,1248.08,-0.015655,0.992094415,0.013188125,0
20010419,0.012893,0.012882,0.009365,0.009351,11101473100,10960283000,1253.7,0.012551,1.039335648,0.02149727,-0.007846,-0.007906,-0.008827,-0.008926,11275381900,11365230700,1267.93,-0.007794,0.988111895,0.012862581,-0.015481,-0.01572,-0.016831,-0.017164,11098127500,11275381900,1248.08,-0.015655,0.992094415,0.013188125,0.006323,0.006243,0.00898,0.008947,11160443700,11098127500,1255.82,0.006202,0.984279521,0.011203983,1
20010420,-0.008665,-0.008667,-0.008989,-0.008991,11005252000,11101473100,1242.98,-0.008551,1.012881976,0.021548746,-0.015481,-0.01572,-0.016831,-0.017164,11098127500,11275381900,1248.08,-0.015655,0.992094415,0.013188125,0.006323,0.006243,0.00898,0.008947,11160443700,11098127500,1255.82,0.006202,0.984279521,0.011203983,0.003923,0.003921,0.004529,0.004515,11204212200,11160443700,1260.67,0.003862,1.005615019,0.010992907,1
20010423,-0.015198,-0.015198,-0.013237,-0.013237,10838162200,11005252000,1224.36,-0.01498,0.991332583,0.021238372,0.006323,0.006243,0.00898,0.008947,11160443700,11098127500,1255.82,0.006202,0.984279521,0.011203983,0.003923,0.003921,0.004529,0.004515,11204212200,11160443700,1260.67,0.003862,1.005615019,0.010992907,0.005016,0.004998,0.002681,0.002656,11255888500,11200156200,1267.11,0.005108,1.003558326,0.010898574,1
20010424,-0.012301,-0.012309,-0.005819,-0.005825,10703344500,10838162200,1209.47,-0.012161,0.984817267,0.019769297,0.003923,0.003921,0.004529,0.004515,11204212200,11160443700,1260.67,0.003862,1.005615019,0.010992907,0.005016,0.004998,0.002681,0.002656,11255888500,11200156200,1267.11,0.005108,1.003558326,0.010898574,0.013073,0.013064,0.015304,0.015285,11402935800,11255888500,1283.57,0.01299,1.004976029,0.010705758,1
20010425,0.015993,0.015986,0.012962,0.012923,10874395400,10703344500,1228.75,0.015941,0.987560834,0.019797131,0.005016,0.004998,0.002681,0.002656,11255888500,11200156200,1267.11,0.005108,1.003558326,0.010898574,0.013073,0.013064,0.015304,0.015285,11402935800,11255888500,1283.57,0.01299,1.004976029,0.010705758,-0.010253,-0.010383,-0.009375,-0.009593,11284726900,11402935800,1270.03,-0.010549,1.013064033,0.01063798,0
20010426,0.004864,0.004774,0.005728,0.005597,10926306000,10874395400,1234.52,0.004696,1.01598107,0.019141314,0.013073,0.013064,0.015304,0.015285,11402935800,11255888500,1283.57,0.01299,1.004976029,0.010705758,-0.010253,-0.010383,-0.009375,-0.009593,11284726900,11402935800,1270.03,-0.010549,1.013064033,0.01063798,0.005412,0.005387,0.005658,0.005611,11345521000,11284726900,1276.96,0.005457,0.989633468,0.010320971,1
20010427,0.015063,0.015029,0.016689,0.01661,11091307900,10926306000,1253.05,0.01501,1.004773654,0.019276286,-0.010253,-0.010383,-0.009375,-0.009593,11284726900,11402935800,1270.03,-0.010549,1.013064033,0.01063798,0.005412,0.005387,0.005658,0.005611,11345521000,11284726900,1276.96,0.005457,0.989633468,0.010320971,-0.009416,-0.009421,-0.007457,-0.007466,11237015900,11345521000,1264.96,-0.009397,1.00538729,0.010482183,0
20010430,-0.002827,-0.002877,0.002731,0.002703,11089346400,11091307900,1249.46,-0.002865,1.015101343,0.018855282,0.005412,0.005387,0.005658,0.005611,11345521000,11284726900,1276.96,0.005457,0.989633468,0.010320971,-0.009416,-0.009421,-0.007457,-0.007466,11237015900,11345521000,1264.96,-0.009397,1.00538729,0.010482183,-0.008444,-0.00845,-0.011158,-0.011167,11142066100,11237015900,1254.39,-0.008356,0.990436305,0.01026068,0
20010501,0.01368,0.013675,0.008766,0.008752,11241011900,11089346400,1266.44,0.01359,0.99982315,0.018760904,-0.009416,-0.009421,-0.007457,-0.007466,11237015900,11345521000,1264.96,-0.009397,1.00538729,0.010482183,-0.008444,-0.00845,-0.011158,-0.011167,11142066100,11237015900,1254.39,-0.008356,0.990436305,0.01026068,0.001065,0.001057,0.000049,0.000048,11154725500,11142066100,1255.85,0.001164,0.991550266,0.010247077,1
20010502,0.000995,0.000906,0.001727,0.00166,11251191600,11241011900,1267.43,0.000782,1.013676685,0.018069576,-0.008444,-0.00845,-0.011158,-0.011167,11142066100,11237015900,1254.39,-0.008356,0.990436305,0.01026068,0.001065,0.001057,0.000049,0.000048,11154725500,11142066100,1255.85,0.001164,0.991550266,0.010247077,-0.011144,-0.011376,-0.008671,-0.008949,11027833000,11154725500,1241.6,-0.011347,1.001136181,0.010136001,0
20010503,-0.014686,-0.014807,-0.015258,-0.015404,11084649500,11251191600,1248.58,-0.014873,1.000905586,0.017952354,0.001065,0.001057,0.000049,0.000048,11154725500,11142066100,1255.85,0.001164,0.991550266,0.010247077,-0.011144,-0.011376,-0.008671,-0.008949,11027833000,11154725500,1241.6,-0.011347,1.001136181,0.010136001,-0.017572,-0.017587,-0.021277,-0.021343,10833884800,11027833000,1219.87,-0.017502,0.988624328,0.010588955,0
