date,SPR.T-5,PRC.T-5,VOL.T-5,SHROUT.T-5,RETX.T-5,SPR.T-4,PRC.T-4,VOL.T-4,SHROUT.T-4,RETX.T-4,SPR.T-3,PRC.T-3,VOL.T-3,SHROUT.T-3,RETX.T-3,SPR.T-2,PRC.T-2,VOL.T-2,SHROUT.T-2,RETX.T-2,SPR.T-1,PRC.T-1,VOL.T-1,SHROUT.T-1,RETX.T-1,sprtrn,MOVEMENT.T-0
20.May.08,0.39,22.16,25913848,5151525,-0.012037,0.77,22.01,30644581,5151525,-0.006769,0.41,22.31,24186409,5151525,0.01363,0.41,21.98,19994237,5151525,-0.014792,0.73,22.66,29196750,5151525,0.030937,-0.009274,1
21.May.08,0.77,22.01,30644581,5151525,-0.006769,0.41,22.31,24186409,5151525,0.01363,0.41,21.98,19994237,5151525,-0.014792,0.73,22.66,29196750,5151525,0.030937,0.31,22.79,26749467,5151525,0.005737,-0.016053,1
22.May.08,0.41,22.31,24186409,5151525,0.01363,0.41,21.98,19994237,5151525,-0.014792,0.73,22.66,29196750,5151525,0.030937,0.31,22.79,26749467,5151525,0.005737,0.52,22.79,32460567,5151525,0,0.002617,1
23.May.08,0.41,21.98,19994237,5151525,-0.014792,0.73,22.66,29196750,5151525,0.030937,0.31,22.79,26749467,5151525,0.005737,0.52,22.79,32460567,5151525,0,0.26,22.84,25258009,5150000,0.002194,-0.01321,0
27.May.08,0.73,22.66,29196750,5151525,0.030937,0.31,22.79,26749467,5151525,0.005737,0.52,22.79,32460567,5151525,0,0.26,22.84,25258009,5150000,0.002194,0.42,22.68,31834735,5150000,-0.007005,0.006846,1
28.May.08,0.31,22.79,26749467,5151525,0.005737,0.52,22.79,32460567,5151525,0,0.26,22.84,25258009,5150000,0.002194,0.42,22.68,31834735,5150000,-0.007005,0.87,22.91,50876726,5150000,0.010141,0.003963,1
29.May.08,0.52,22.79,32460567,5151525,0,0.26,22.84,25258009,5150000,0.002194,0.42,22.68,31834735,5150000,-0.007005,0.87,22.91,50876726,5150000,0.010141,0.4401,22.91,35156449,5150000,0,0.005335,1
30.May.08,0.26,22.84,25258009,5150000,0.002194,0.42,22.68,31834735,5150000,-0.007005,0.87,22.91,50876726,5150000,0.010141,0.4401,22.91,35156449,5150000,0,0.5,23.18,31050422,5150000,0.011785,0.001516,0
2.Jun.08,0.42,22.68,31834735,5150000,-0.007005,0.87,22.91,50876726,5150000,0.010141,0.4401,22.91,35156449,5150000,0,0.5,23.18,31050422,5150000,0.011785,0.6,22.46,41430010,5150000,-0.031061,-0.010504,1
3.Jun.08,0.87,22.91,50876726,5150000,0.010141,0.4401,22.91,35156449,5150000,0,0.5,23.18,31050422,5150000,0.011785,0.6,22.46,41430010,5150000,-0.031061,0.42,22.55,26290116,5150000,0.004007,-0.005788,0
4.Jun.08,0.4401,22.91,35156449,5150000,0,0.5,23.18,31050422,5150000,0.011785,0.6,22.46,41430010,5150000,-0.031061,0.42,22.55,26290116,5150000,0.004007,0.55,22.5,28076978,5150000,-0.002217,-0.000327,0
